event_id,date,home_team,away_team,home_q1,away_q1,home_final,away_final,odd_id,handicap,home_od,away_od,add_time,time_str,odd_id_3,handicap_3,over_od_3,under_od_3,add_time_3,time_str_3,odd_id_8,handicap_8,home_od_8,away_od_8,add_time_8,time_str_8
10209829,2025-07-03 18:00:00,Minas LDB U22,Mogi Basquete LDB U22,20.0,11.0,66.0,53.0,149796504,-9.5,1.769,1.909,1751576001,,186532020,134.5,1.769,1.909,1751576001,,43709403,-2.5,1.769,1.909,1751576226,
10209828,2025-07-03 15:45:00,Caxias do Sul LDB U22,Sao Jose U22,16.0,12.0,52.0,76.0,149791197,-1.5,1.869,1.800,1751567417,,186525306,145.5,1.833,1.833,1751566697,,43708442,-0.5,1.869,1.800,1751568282,
10209830,2025-07-03 13:30:00,Uniao Corinthians LDB U22,Pinheiros U22,8.0,12.0,53.0,82.0,149787049,+32.5,1.869,1.800,1751559920,,186521281,138.5,1.833,1.833,1751559920,,43707517,+9.5,1.833,1.833,1751560120,
10209831,2025-07-03 11:15:00,BRB/Brasilia LDB U22,ADRM/Maringa LDB U22,22.0,10.0,55.0,47.0,149782963,-1.5,1.769,1.909,1751552388,,186516592,130.5,1.769,1.909,1751552388,,43706705,-0.5,1.833,1.833,1751552388,
10209827,2025-07-03 09:00:00,Campo Mourao LDB U22,Franca U22,19.0,18.0,72.0,77.0,149776545,+26.5,1.769,1.909,1751543848,,186495544,140.5,1.833,1.833,1751528447,,43703888,+8.5,1.833,1.833,1751537687,
10205697,2025-07-02 18:00:00,Mogi Basquete LDB U22,Pato Basquete LDB U22,16.0,9.0,80.0,54.0,149711033,-16.5,1.909,1.769,1751467952,,186430261,138.5,1.833,1.833,1751462645,,43689295,-4.5,1.833,1.833,1751467952,
10205540,2025-07-02 18:00:00,Flamengo U22,Paulistano U22,10.0,33.0,59.0,112.0,149728628,+17.5,1.833,1.833,1751489492,,186427678,160.5,1.833,1.833,1751459814,,43694146,+4.5,1.909,1.769,1751490083,
10205053,2025-07-02 15:45:00,Pinheiros U22,Caxias do Sul LDB U22,20.0,15.0,68.0,60.0,149722445,-13.5,1.833,1.833,1751481776,,186423793,141.5,1.833,1.833,1751455715,,43692596,-3.5,1.800,1.869,1751481776,
10204837,2025-07-02 15:45:00,IVV/CETAF LDB U22,Sao Paulo LDB U22,12.0,30.0,63.0,100.0,149722384,+11.5,2.000,1.714,1751481693,,186422135,147.5,1.833,1.833,1751453787,,43692651,+3.5,1.869,1.800,1751482059,
10204559,2025-07-02 13:30:00,Sao Jose U22,Campo Mourao LDB U22,27.0,17.0,86.0,69.0,149697994,-28.5,1.833,1.833,1751451476,,186420201,139.5,1.833,1.833,1751451476,,43687592,-8.5,1.833,1.833,1751459508,
10204511,2025-07-02 13:30:00,Botafogo RJ U22,Corinthians U22,18.0,24.0,70.0,79.0,149715261,+12.5,1.909,1.769,1751473711,,186427310,150.5,1.833,1.833,1751459574,,43690821,+3.5,1.869,1.800,1751473952,
