hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Botafogo2023Mogi2023,Botafogo2023Mogi20231,2023-06-15,1,2023,Botafogo2023,Mogi2023,16,18,3,9,2,9,3,8,13,15,1,8,2,7,6,12,28.52,21.28,24.9,16,13,3,29,3,0.0
Botafogo2023Mogi2023,Botafogo2023Mogi20232,2023-06-15,2,2023,Botafogo2023,Mogi2023,20,10,2,4,3,6,8,12,16,13,0,4,4,9,8,11,22.28,20.84,21.560000000000002,20,16,4,36,7,3.0
Botafogo2023Mogi2023,Botafogo2023Mogi20233,2023-06-15,3,2023,Botafogo2023,Mogi2023,9,16,0,7,3,9,3,5,23,14,2,4,7,10,3,8,22.2,18.52,20.36,9,23,-14,32,-7,7.0
Botafogo2023Mogi2023,Botafogo2023Mogi20234,2023-06-15,4,2023,Botafogo2023,Mogi2023,11,19,0,7,4,12,3,4,17,9,0,3,4,6,9,13,22.76,17.72,20.240000000000002,11,17,-6,28,-13,-7.0
Botafogo2023Mogi2023,Botafogo2023Mogi2023Final,2023-06-15,Final,2023,Botafogo2023,Mogi2023,56,63,5,27,12,36,17,29,69,51,3,19,17,32,26,44,94.76,76.36,85.56,56,69,-13,125,-26,
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros20231,2023-06-15,1,2023,Bauru Basket2023,Pinheiros2023,14,19,1,9,3,10,5,5,24,16,3,6,4,10,7,8,23.2,18.52,20.86,14,24,-10,38,-10,0.0
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros20232,2023-06-15,2,2023,Bauru Basket2023,Pinheiros2023,13,20,0,6,5,14,3,4,26,15,3,6,6,9,5,9,25.76,22.96,24.36,13,26,-13,39,-23,-10.0
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros20233,2023-06-15,3,2023,Bauru Basket2023,Pinheiros2023,8,14,1,7,2,7,1,3,22,17,3,8,5,9,3,3,16.32,24.32,20.32,8,22,-14,30,-37,-23.0
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros20234,2023-06-15,4,2023,Bauru Basket2023,Pinheiros2023,15,21,1,10,5,11,2,2,21,15,2,7,7,8,1,3,22.88,16.32,19.6,15,21,-6,36,-43,-37.0
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros2023Final,2023-06-15,Final,2023,Bauru Basket2023,Pinheiros2023,50,74,3,32,15,42,11,14,93,63,11,27,22,36,16,23,85.16,79.12,82.14,50,93,-43,143,-86,
