hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Botafogo2023Mogi2023,Botafogo2023Mogi2023Final,2023-06-15,Final,2023,Botafogo2023,Mogi2023,56,63,5,27,12,36,17,29,69,51,3,19,17,32,26,44,94.76,76.36,85.56,56,69,-13,125,-26,
Bauru Basket2023Pinheiros2023,Bauru Basket2023Pinheiros2023Final,2023-06-15,Final,2023,Bauru Basket2023,Pinheiros2023,50,74,3,32,15,42,11,14,93,63,11,27,22,36,16,23,85.16,79.12,82.14,50,93,-43,143,-86,
Flamengo2023São José Basketball2023,Flamengo2023São José Basketball2023Final,2023-06-15,Final,2023,Flamengo2023,São José Basketball2023,68,64,7,24,21,40,5,13,97,71,9,23,26,48,18,32,73.72,82.08,77.9,68,97,-29,165,-58,
Caxias2023IVV/CETAF2023,Caxias2023IVV/CETAF2023Final,2023-06-16,Final,2023,Caxias2023,IVV/CETAF2023,74,70,7,26,24,44,5,14,40,51,3,18,11,33,9,18,77.16,61.92,69.53999999999999,74,40,34,114,68,
Flamengo2023Mogi2023,Flamengo2023Mogi2023Final,2023-06-16,Final,2023,Flamengo2023,Mogi2023,71,65,5,20,24,45,8,15,77,62,10,37,14,25,19,24,81.6,77.56,79.58,71,77,-6,148,-12,
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros2023Final,2023-06-16,Final,2023,Botafogo2023,Pinheiros2023,73,71,9,34,16,37,14,22,102,68,12,31,28,37,10,25,90.68,85.0,87.84,73,102,-29,175,-58,
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball2023Final,2023-06-16,Final,2023,Bauru Basket2023,São José Basketball2023,63,60,5,23,17,37,14,19,71,63,3,16,22,47,18,30,85.36,79.2,82.28,63,71,-8,134,-16,
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes2023Final,2023-06-16,Final,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,46,70,6,31,10,39,8,11,65,61,6,24,17,37,13,24,82.84,81.56,82.2,46,65,-19,111,-38,
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians2023Final,2023-06-16,Final,2023,Pato Basquete2023,União Corinthians2023,80,75,11,37,20,38,7,15,57,70,3,14,22,56,4,9,79.6,75.96,77.78,80,57,23,137,46,
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo2023Final,2023-06-17,Final,2023,Bauru Basket2023,Flamengo2023,73,69,7,27,21,42,10,12,54,57,2,16,18,41,12,24,74.28,75.56,74.92,73,54,19,127,38,
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete2023Final,2023-06-17,Final,2023,AABJ Joinville2023,Pato Basquete2023,68,69,8,36,18,33,8,9,78,59,10,25,16,34,16,21,80.96,71.24,76.1,68,78,-10,146,-20,
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball2023Final,2023-06-17,Final,2023,Botafogo2023,São José Basketball2023,67,58,8,27,17,31,9,22,73,60,6,23,23,37,9,20,76.68,79.8,78.24000000000001,67,73,-6,140,-12,
