team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,T. Faria,1,1530,10,6,66.7,2,4,50.0,2,2,100.0,0,0,0.0,0,2,2,6,1,0,1,2,15
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Guizardi,0,674,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,1,0,0,3
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,V. Cauã,0,1027,7,6,50.0,1,3,33.3,2,3,66.7,0,0,0.0,1,5,6,1,1,0,0,0,11
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Adyel,1,1522,7,6,0.0,0,2,0.0,0,4,0.0,7,8,87.5,0,6,6,2,3,0,1,5,7
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Capela,0,1032,5,3,66.7,0,0,0.0,2,3,66.7,1,2,50.0,0,3,3,4,1,0,1,2,8
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Djalo,1,1331,17,12,50.0,3,6,50.0,3,6,50.0,2,3,66.7,1,2,3,6,2,0,4,2,20
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Speranzini,0,285,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,0,2
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Luiggi,0,273,2,4,25.0,0,2,0.0,1,2,50.0,0,1,0.0,2,0,2,0,0,0,0,1,-1
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Enrico,0,842,7,4,75.0,1,2,50.0,2,2,100.0,0,0,0.0,2,2,4,1,0,0,1,0,9
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Fidelis,1,1248,13,10,50.0,3,5,60.0,2,5,40.0,0,0,0.0,0,5,5,5,0,2,1,0,20
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Ivan Neto,0,1112,12,7,71.4,1,3,33.3,4,4,100.0,1,2,50.0,0,4,4,1,0,0,4,1,9
Pinheiros,Bauru Basket,2023-06-15,Final,jogador,Agapy,1,1124,13,4,100.0,0,0,0.0,4,4,100.0,5,7,71.4,3,6,9,0,1,2,3,5,21
Pinheiros,Bauru Basket,2023-06-15,Final,total,Total,0,0,93,63,52.4,11,27,40.7,22,36,61.1,16,23,69.6,12,44,56,28,10,5,18,18,132
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,T. Faria,1,509,3,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,3
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Guizardi,0,91,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,V. Cauã,0,272,5,4,50.0,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,1,1,0,0,0,6
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Adyel,1,459,2,2,0.0,0,0,0.0,0,2,0.0,2,2,100.0,0,2,2,0,0,0,0,2,2
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Capela,0,141,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Djalo,1,398,4,3,33.3,0,1,0.0,1,2,50.0,2,2,100.0,1,0,1,4,0,0,1,1,6
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Speranzini,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Luiggi,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Enrico,0,141,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Fidelis,1,328,5,5,40.0,1,2,50.0,1,3,33.3,0,0,0.0,0,1,1,1,0,0,1,0,4
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Ivan Neto,0,202,1,0,,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,1,1,-1
Pinheiros,Bauru Basket,2023-06-15,Q1,jogador,Agapy,1,459,4,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,3,3,6,0,0,1,1,2,10
Pinheiros,Bauru Basket,2023-06-15,Q1,total,Total,0,0,24,16,43.8,3,6,50.0,4,10,40.0,7,8,87.5,5,9,14,7,1,1,4,6,30
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,T. Faria,1,347,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,1
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Guizardi,0,253,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,3
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,V. Cauã,0,352,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,3
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Adyel,1,193,2,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,0,1,1,0,1,0,0,1,1
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Capela,0,407,3,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,0,1,1,3,0,0,0,1,4
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Djalo,1,340,8,5,60.0,2,3,66.7,1,2,50.0,0,1,0.0,0,0,0,0,1,0,0,1,6
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Speranzini,0,66,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Luiggi,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Enrico,0,175,3,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,3
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Fidelis,1,342,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,2,0,1,0,0,6
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Ivan Neto,0,260,4,3,66.7,0,1,0.0,2,2,100.0,0,0,0.0,0,1,1,0,0,0,1,0,4
Pinheiros,Bauru Basket,2023-06-15,Q2,jogador,Agapy,1,265,6,2,100.0,0,0,0.0,2,2,100.0,2,4,50.0,0,0,0,0,0,1,0,2,5
Pinheiros,Bauru Basket,2023-06-15,Q2,total,Total,0,0,26,15,60.0,3,6,50.0,6,9,66.7,5,9,55.6,0,11,11,8,2,3,4,6,36
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,T. Faria,1,400,5,3,66.7,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,3,1,0,0,1,8
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,Guizardi,0,46,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,V. Cauã,0,226,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,2
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,Adyel,1,554,2,3,0.0,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,2,1,0,1,1,4
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,Capela,0,200,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-1
Pinheiros,Bauru Basket,2023-06-15,Q3,jogador,Djalo,1,277,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,2,0,1
