team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
Caxias,Campo Mourão,2025-07-30,Final,jogador,Felipão,0,886,4,4,50.0,0,1,0.0,2,3,66.7,0,0,0.0,1,3,4,1,1,0,0,0,6
Caxias,Campo Mourão,2025-07-30,Final,jogador,Pietro,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Caxias,Campo Mourão,2025-07-30,Final,jogador,Gustavinho,0,124,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0
Caxias,Campo Mourão,2025-07-30,Final,jogador,Caldas,1,1580,6,8,37.5,0,4,0.0,3,4,75.0,0,2,0.0,1,5,6,2,3,0,2,2,9
Caxias,Campo Mourão,2025-07-30,Final,jogador,Melo,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Caxias,Campo Mourão,2025-07-30,Final,jogador,Kopper,0,841,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,3,0,3
Caxias,Campo Mourão,2025-07-30,Final,jogador,Tiago M.,1,1976,20,18,33.3,4,7,57.1,2,11,18.2,4,5,80.0,2,1,3,4,4,0,1,2,14
Caxias,Campo Mourão,2025-07-30,Final,jogador,Omena,1,2250,8,10,30.0,1,5,20.0,2,5,40.0,1,2,50.0,3,1,4,6,6,0,2,1,13
Caxias,Campo Mourão,2025-07-30,Final,jogador,Miguel,1,2104,14,10,30.0,2,3,66.7,1,7,14.3,6,10,60.0,3,4,7,2,1,0,1,5,12
Caxias,Campo Mourão,2025-07-30,Final,jogador,Emerson,0,1239,11,8,37.5,1,4,25.0,2,4,50.0,4,5,80.0,4,2,6,0,0,1,3,5,7
Caxias,Campo Mourão,2025-07-30,Final,jogador,Edric,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Caxias,Campo Mourão,2025-07-30,Final,jogador,Luan,1,1000,9,5,80.0,0,0,0.0,4,5,80.0,1,1,100.0,2,2,4,0,1,0,2,2,12
