team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
Minas,Cerrado,2023-06-22,Final,jogador,Danilo,0,1189,12,8,75.0,0,0,0.0,6,8,75.0,0,0,0.0,1,3,4,5,2,0,1,1,21
Minas,Cerrado,2023-06-22,Final,jogador,Rafael,0,366,3,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0,1,1,0,0,1,4
Minas,Cerrado,2023-06-22,Final,jogador,Elvis,0,851,22,12,75.0,2,3,66.7,7,9,77.8,2,3,66.7,1,1,2,0,2,0,1,3,22
Minas,Cerrado,2023-06-22,Final,jogador,J. Prado,1,1307,15,10,70.0,0,1,0.0,7,9,77.8,1,2,50.0,1,3,4,10,2,0,1,2,25
Minas,Cerrado,2023-06-22,Final,jogador,Tiago,1,1168,17,8,87.5,3,4,75.0,4,4,100.0,0,0,0.0,3,5,8,2,0,0,0,0,25
Minas,Cerrado,2023-06-22,Final,jogador,Daniel,0,1166,5,6,33.3,1,5,20.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,1,1
Minas,Cerrado,2023-06-22,Final,jogador,Breno,1,1345,15,5,80.0,3,4,75.0,1,1,100.0,4,6,66.7,2,2,4,0,2,0,0,4,17
Minas,Cerrado,2023-06-22,Final,jogador,Kevin,0,218,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
Minas,Cerrado,2023-06-22,Final,jogador,Jordan,0,1282,2,4,0.0,0,1,0.0,0,3,0.0,2,2,100.0,3,5,8,1,0,0,1,1,5
Minas,Cerrado,2023-06-22,Final,jogador,Yuri,1,1289,10,10,50.0,0,0,0.0,5,10,50.0,0,0,0.0,3,4,7,1,1,0,0,1,13
Minas,Cerrado,2023-06-22,Final,jogador,Diarra,1,804,6,5,60.0,0,0,0.0,3,5,60.0,0,1,0.0,2,6,8,0,0,1,4,1,10
Minas,Cerrado,2023-06-22,Final,jogador,Fernando,0,1015,12,8,50.0,2,4,50.0,2,4,50.0,2,4,50.0,0,3,3,0,0,0,0,2,6
Minas,Cerrado,2023-06-22,Final,total,Total,0,0,119,80,60.0,11,25,44.0,37,55,67.3,12,20,60.0,20,39,59,21,10,1,8,17,156
Minas,Cerrado,2023-06-22,Q1,jogador,Danilo,0,207,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,1,3
Minas,Cerrado,2023-06-22,Q1,jogador,Rafael,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q1,jogador,Elvis,0,192,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,3
Minas,Cerrado,2023-06-22,Q1,jogador,J. Prado,1,393,2,3,33.3,0,1,0.0,1,2,50.0,0,0,0.0,0,2,2,4,0,0,0,0,6
Minas,Cerrado,2023-06-22,Q1,jogador,Tiago,1,393,5,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,7
Minas,Cerrado,2023-06-22,Q1,jogador,Daniel,0,184,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Minas,Cerrado,2023-06-22,Q1,jogador,Breno,1,431,6,3,66.7,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,6
Minas,Cerrado,2023-06-22,Q1,jogador,Kevin,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q1,jogador,Jordan,0,396,2,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,1,2
Minas,Cerrado,2023-06-22,Q1,jogador,Yuri,1,471,6,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,1,4,5,1,0,0,0,1,11
Minas,Cerrado,2023-06-22,Q1,jogador,Diarra,1,204,4,2,100.0,0,0,0.0,2,2,100.0,0,1,0.0,0,2,2,0,0,1,2,1,6
Minas,Cerrado,2023-06-22,Q1,jogador,Fernando,0,129,4,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,0,1,1,0,0,0,0,1,4
Minas,Cerrado,2023-06-22,Q1,total,Total,0,0,33,18,72.2,3,5,60.0,10,13,76.9,4,5,80.0,1,14,15,5,2,1,3,5,47
Minas,Cerrado,2023-06-22,Q2,jogador,Danilo,0,382,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,3
Minas,Cerrado,2023-06-22,Q2,jogador,Rafael,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q2,jogador,Elvis,0,286,12,5,80.0,2,2,100.0,2,3,66.7,2,2,100.0,1,0,1,0,0,0,1,1,12
