team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Alisson,1,1595,7,9,33.3,0,4,0.0,3,5,60.0,1,1,100.0,1,2,3,1,2,0,1,2,6
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Cardoso,0,951,5,4,50.0,1,3,33.3,1,1,100.0,0,0,0.0,2,6,8,1,0,0,2,0,11
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Kaique,1,1287,12,13,38.5,1,3,33.3,4,10,40.0,1,4,25.0,0,1,1,3,2,0,1,3,6
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Enzo,0,541,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-1
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,M. Jamelão,1,1549,9,15,26.7,1,8,12.5,3,7,42.9,0,0,0.0,3,1,4,8,2,0,0,0,12
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Amapazinho,0,867,3,6,16.7,1,6,16.7,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,1
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Isac,0,131,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Edu Santos,0,728,3,3,33.3,0,1,0.0,1,2,50.0,1,2,50.0,2,1,3,0,0,0,1,1,2
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Raymundo,1,1738,22,14,64.3,1,3,33.3,8,11,72.7,3,5,60.0,6,12,18,1,4,2,1,3,39
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,João Nery,0,484,3,3,33.3,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,2,0,1
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Martinez,0,1098,4,7,28.6,0,3,0.0,2,4,50.0,0,0,0.0,0,1,1,3,2,0,1,1,5
Corinthians,IVV/CETAF,2025-06-26,Final,jogador,Pedrão,1,1031,9,5,60.0,0,0,0.0,3,5,60.0,3,3,100.0,5,4,9,0,0,1,2,3,16
Corinthians,IVV/CETAF,2025-06-26,Final,total,Total,0,0,77,80,38.8,6,34,17.6,25,46,54.3,9,15,60.0,22,32,54,19,13,4,13,14,103
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Alisson,1,501,2,2,50.0,0,1,0.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,1,2
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Cardoso,0,346,5,3,66.7,1,2,50.0,1,1,100.0,0,0,0.0,2,3,5,0,0,0,0,0,9
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Kaique,1,338,2,4,25.0,0,1,0.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,0,0,1
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Enzo,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,M. Jamelão,1,375,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,3,1,0,0,0,2
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Amapazinho,0,225,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Isac,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Edu Santos,0,59,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Raymundo,1,529,6,4,50.0,0,1,0.0,2,3,66.7,2,2,100.0,3,2,5,0,2,0,0,1,10
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,João Nery,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Martinez,0,361,4,4,50.0,0,1,0.0,2,3,66.7,0,0,0.0,0,1,1,1,1,0,0,0,5
Corinthians,IVV/CETAF,2025-06-26,Q1,jogador,Pedrão,1,266,5,1,100.0,0,0,0.0,1,1,100.0,3,3,100.0,1,2,3,0,0,0,1,2,8
Corinthians,IVV/CETAF,2025-06-26,Q1,total,Total,0,0,24,22,40.9,1,9,11.1,8,13,61.5,5,5,100.0,7,10,17,7,4,0,2,4,37
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Alisson,1,504,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Cardoso,0,213,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Kaique,1,329,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,0,-2
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Enzo,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,M. Jamelão,1,600,9,6,66.7,1,2,50.0,3,4,75.0,0,0,0.0,1,1,2,2,1,0,0,0,12
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Amapazinho,0,168,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Isac,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Edu Santos,0,329,3,3,33.3,0,1,0.0,1,2,50.0,1,2,50.0,2,1,3,0,0,0,1,1,2
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Raymundo,1,478,6,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,2,1,3,0,1,1,0,0,10
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,João Nery,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Martinez,0,199,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0
Corinthians,IVV/CETAF,2025-06-26,Q2,jogador,Pedrão,1,180,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,3
Corinthians,IVV/CETAF,2025-06-26,Q2,total,Total,0,0,20,22,40.9,1,6,16.7,8,16,50.0,1,2,50.0,6,6,12,4,4,1,4,2,24
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Alisson,1,121,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-2
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Cardoso,0,392,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Kaique,1,268,3,2,50.0,1,1,100.0,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,2,0
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Enzo,0,129,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,M. Jamelão,1,304,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-1
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Amapazinho,0,332,3,3,33.3,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Isac,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Edu Santos,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Raymundo,1,471,10,6,66.7,1,2,50.0,3,4,75.0,1,3,33.3,1,6,7,1,1,1,0,2,16
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,João Nery,0,296,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,0,-2
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Martinez,0,350,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-1
Corinthians,IVV/CETAF,2025-06-26,Q3,jogador,Pedrão,1,337,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,1,0,4
Corinthians,IVV/CETAF,2025-06-26,Q3,total,Total,0,0,16,20,30.0,3,12,25.0,3,8,37.5,1,5,20.0,6,8,14,4,2,2,3,5,18
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Alisson,1,469,5,3,66.7,0,1,0.0,2,2,100.0,1,1,100.0,0,0,0,0,2,0,0,1,6
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Cardoso,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Kaique,1,352,7,4,75.0,0,1,0.0,3,3,100.0,1,2,50.0,0,0,0,1,1,0,0,1,7
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Enzo,0,412,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-1
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,M. Jamelão,1,270,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Amapazinho,0,142,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Isac,0,131,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Edu Santos,0,340,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Raymundo,1,260,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,3
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,João Nery,0,188,3,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,3
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Martinez,0,188,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1
Corinthians,IVV/CETAF,2025-06-26,Q4,jogador,Pedrão,1,248,2,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,1,1
Corinthians,IVV/CETAF,2025-06-26,Q4,total,Total,0,0,17,16,43.8,1,7,14.3,6,9,66.7,2,3,66.7,1,5,6,4,3,1,4,3,19
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Welton,0,131,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Marcão,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Vitor Cauã,1,1756,5,12,16.7,1,7,14.3,1,5,20.0,0,0,0.0,0,7,7,0,1,0,2,3,-2
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Guilherme,1,1444,17,13,46.2,3,6,50.0,3,7,42.9,2,2,100.0,0,3,3,2,1,0,3,1,14
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Pedro,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,João Vitor,1,1927,6,9,22.2,1,3,33.3,1,6,16.7,1,2,50.0,2,4,6,1,3,0,1,3,6
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,João Guilherme,0,844,3,5,20.0,1,4,25.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-2
IVV/CETAF,Corinthians,2025-06-26,Final,jogador,Juan,1,1531,10,6,50.0,2,3,66.7,1,3,33.3,2,4,50.0,0,3,3,1,0,1,1,2,7
