event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
10378652,2025-07-29 16:15:00,Pinheiros U22,ADRM/Maringa LDB U22,24,21,110,59,,,110,59
10378592,2025-07-29 14:00:00,Mogi Basquete LDB U22,Sao Jose U22,22,25,74,87,,,74,87
10378468,2025-07-29 11:15:00,Corinthians U22,Soc. Thalia/SMEIJ LDB U22,23,16,101,71,,,101,71
10378467,2025-07-29 09:00:00,Bauru LDB U22,Sao Paulo LDB U22,24,24,76,79,,,76,79
10209829,2025-07-03 18:00:00,Minas LDB U22,Mogi Basquete LDB U22,20,11,66,53,,,66,53
10209828,2025-07-03 15:45:00,Caxias do Sul LDB U22,Sao Jose U22,16,12,52,76,,,52,76
10209830,2025-07-03 13:30:00,Uniao Corinthians LDB U22,Pinheiros U22,8,12,53,82,,,53,82
10209831,2025-07-03 11:15:00,BRB/Brasilia LDB U22,ADRM/Maringa LDB U22,22,10,55,47,,,55,47
10209827,2025-07-03 09:00:00,Campo Mourao LDB U22,Franca U22,19,18,2,7,72,77,72,77
10205697,2025-07-02 18:00:00,Mogi Basquete LDB U22,Pato Basquete LDB U22,16,9,80,54,,,80,54
10205540,2025-07-02 18:00:00,Flamengo U22,Paulistano U22,10,33,59,112,,,59,112
10205053,2025-07-02 15:45:00,Pinheiros U22,Caxias do Sul LDB U22,20,15,68,60,,,68,60
10204837,2025-07-02 15:45:00,IVV/CETAF LDB U22,Sao Paulo LDB U22,12,30,63,100,,,63,100
10204559,2025-07-02 13:30:00,Sao Jose U22,Campo Mourao LDB U22,27,17,86,69,,,86,69
10204511,2025-07-02 13:30:00,Botafogo RJ U22,Corinthians U22,18,24,70,79,,,70,79
10204420,2025-07-02 11:15:00,Franca U22,Minas LDB U22,21,12,67,51,,,67,51
10204402,2025-07-02 11:15:00,Basquete Cearense LDB U22,Bauru LDB U22,11,22,56,64,,,56,64
10204289,2025-07-02 09:00:00,Vasco da Gama/Tijuca LDB U22,Soc. Thalia/SMEIJ LDB U22,19,19,75,72,,,75,72
10203976,2025-07-02 09:00:00,ADRM/Maringa LDB U22,Uniao Corinthians LDB U22,11,16,52,56,,,52,56
10199515,2025-07-01 18:00:00,Paulistano U22,Unifacisa LDB U22,26,14,108,66,,,108,66
10199400,2025-07-01 18:00:00,BRB/Brasilia LDB U22,Mogi Basquete LDB U22,7,17,42,74,,,42,74
10199344,2025-07-01 15:45:00,Sao Paulo LDB U22,Botafogo RJ U22,26,21,76,96,,,76,96
10199207,2025-07-01 15:45:00,Pato Basquete LDB U22,Franca U22,12,20,70,80,,,70,80
10199017,2025-07-01 13:30:00,Soc. Thalia/SMEIJ LDB U22,IVV/CETAF LDB U22,16,10,58,57,,,58,57
10198973,2025-07-01 13:30:00,Campo Mourao LDB U22,Pinheiros U22,17,22,53,82,,,53,82
10198905,2025-07-01 11:15:00,Minas LDB U22,Sao Jose U22,16,14,68,60,,,68,60
10198904,2025-07-01 11:15:00,Corinthians U22,Basquete Cearense LDB U22,23,9,97,56,,,97,56
10198823,2025-07-01 09:00:00,Caxias do Sul LDB U22,ADRM/Maringa LDB U22,14,14,83,44,,,83,44
10198660,2025-07-01 09:00:00,Bauru LDB U22,Flamengo U22,15,28,83,78,,,83,78
10187310,2025-06-30 18:00:00,Vasco da Gama/Tijuca LDB U22,Paulistano U22,22,26,47,87,,,47,87
10187276,2025-06-30 15:45:00,Botafogo RJ U22,Soc. Thalia/SMEIJ LDB U22,12,15,66,80,,,66,80
10187277,2025-06-30 13:30:00,Flamengo U22,Corinthians U22,13,23,54,91,,,54,91
10187147,2025-06-30 11:15:00,Unifacisa LDB U22,Bauru LDB U22,14,25,67,87,,,67,87
10186867,2025-06-30 09:00:00,Basquete Cearense LDB U22,Sao Paulo LDB U22,16,26,58,98,,,58,98
10186699,2025-06-29 18:00:00,Mogi Basquete LDB U22,Uniao Corinthians LDB U22,26,11,76,49,,,76,49
10186580,2025-06-29 15:45:00,Sao Jose U22,Pato Basquete LDB U22,26,10,84,71,,,84,71
10186520,2025-06-29 13:30:00,Pinheiros U22,Minas LDB U22,27,24,71,77,,,71,77
10186502,2025-06-29 11:15:00,ADRM/Maringa LDB U22,Campo Mourao LDB U22,12,17,68,65,,,68,65
10186501,2025-06-29 09:00:00,Franca U22,BRB/Brasilia LDB U22,23,16,96,53,,,96,53
10181890,2025-06-28 18:00:00,Paulistano U22,IVV/CETAF LDB U22,21,21,87,76,,,87,76
10181767,2025-06-28 18:00:00,Caxias do Sul LDB U22,Mogi Basquete LDB U22,9,13,75,73,,,75,73
10181740,2025-06-28 15:45:00,Pato Basquete LDB U22,Pinheiros U22,12,25,60,92,,,60,92
10181622,2025-06-28 15:45:00,Bauru LDB U22,Vasco da Gama/Tijuca LDB U22,25,17,79,54,,,79,54
10181421,2025-06-28 13:30:00,Coritiba/Thalia LDB U22,Basquete Cearense LDB U22,16,12,72,56,,,72,56
10181273,2025-06-28 13:30:00,BRB/Brasilia LDB U22,Sao Jose U22,17,23,49,84,,,49,84
10181158,2025-06-28 11:15:00,Uniao Corinthians LDB U22,Franca U22,21,20,64,83,,,64,83
10181130,2025-06-28 11:15:00,Sao Paulo LDB U22,Flamengo U22,22,26,94,78,,,94,78
10181086,2025-06-28 09:00:00,Minas LDB U22,ADRM/Maringa LDB U22,21,14,75,37,,,75,37
10181085,2025-06-28 09:00:00,Corinthians U22,Unifacisa LDB U22,22,14,99,57,,,99,57
10177318,2025-06-27 18:00:00,Botafogo RJ U22,Paulistano U22,13,30,69,104,,,69,104
10176870,2025-06-27 15:45:00,Flamengo U22,Soc. Thalia/SMEIJ LDB U22,21,26,98,70,,,98,70
10169607,2025-06-27 15:45:00,Pinheiros U22,BRB/Brasilia LDB U22,23,9,98,33,,,98,33
10176541,2025-06-27 13:30:00,Unifacisa LDB U22,Sao Paulo LDB U22,10,28,45,110,,,45,110
10169513,2025-06-27 13:30:00,Sao Jose U22,Uniao Corinthians LDB U22,25,25,96,64,,,96,64
8751885,2024-08-31 18:00:00,Corinthians U22,Paulistano U22,14,23,70,78,,,70,78
8751703,2024-08-31 15:45:00,Flamengo U22,Pinheiros U22,20,23,67,77,,,67,77
8751695,2024-08-31 13:30:00,Minas LDB U22,Sao Jose U22,23,19,96,68,,,96,68
